源:电流源
起点:0mA
终点:100mA
点数:1000
限值:5 V
延时:0us
NPLC:1
2/4Wire:2
面板:前面板

点数,电压(V),电流(A),电阻(Ω),功率(W)
982,5.00226,0.0911365,54.8876,0.455888
983,5.00229,0.0930321,53.7695,0.465374
984,5.00232,0.093603,53.4419,0.468232
985,5.00232,0.0934775,53.5136,0.467604
986,5.00232,0.0934378,53.5364,0.467406
987,5.00226,0.0925851,54.0288,0.463135
988,5.00226,0.0932531,53.6418,0.466476
989,5.00229,0.0931943,53.6759,0.466185
990,5.00229,0.093047,53.7609,0.465448
991,5.00232,0.0929646,53.8089,0.465039
992,5.00226,0.0930736,53.7452,0.465578
993,5.00232,0.0920821,54.3246,0.460624
994,5.00232,0.090697,55.1542,0.453695
995,5.00232,0.0907766,55.1058,0.454094
996,5.00229,0.0891611,56.104,0.44601
997,5.00232,0.0894256,55.9383,0.447335
998,5.00226,0.0892207,56.0661,0.446305
999,5.00232,0.0883414,56.6249,0.441912
1000,5.00232,0.0826402,60.5313,0.413393
