No,1,2,3,4,5,6,7,8,9,10
506nm,3.789915,1.022585,2.091100,1.381184,0.442185,42.864155,82.412994,35.611996,25.149178,27.296522
507nm,4.141105,1.120039,2.290481,1.516791,0.480884,46.748596,88.762909,39.036057,27.712984,30.077206
508nm,4.520266,1.224197,2.505887,1.665549,0.518974,50.748806,95.254440,42.634331,30.419390,33.055946
509nm,4.920979,1.342846,2.742624,1.831676,0.576819,54.791508,101.354683,46.267223,33.135429,36.077534
510nm,5.325607,1.461436,2.987648,2.000973,0.630331,58.949314,107.455597,49.993984,35.990208,39.175980
511nm,5.694856,1.569782,3.214050,2.153405,0.674062,62.731956,112.659035,53.365314,38.625111,41.937160
512nm,6.116095,1.691101,3.469751,2.324656,0.721540,66.794800,117.966782,57.039932,41.539619,45.067856
513nm,6.549739,1.814748,3.731704,2.500057,0.767013,70.657509,122.926399,60.668152,44.478027,48.157330
514nm,7.017826,1.947706,4.003112,2.686780,0.821878,74.509125,127.546173,64.303307,47.428612,51.299427
515nm,7.497443,2.088568,4.288911,2.881593,0.881289,78.192093,131.599228,67.784401,50.288700,54.427631
516nm,7.961963,2.221972,4.563309,3.068789,0.932493,81.457039,134.930542,70.900810,52.915112,57.176971
517nm,8.512925,2.387648,4.891830,3.287836,0.994616,84.619865,137.734024,73.998367,55.656414,60.048588
518nm,9.077308,2.559907,5.238296,3.516705,1.057271,87.181290,139.578018,76.614464,58.094234,62.424461
519nm,9.649278,2.742374,5.594378,3.753388,1.131105,88.974762,140.050323,78.473824,60.018406,64.277931
520nm,10.201554,2.923400,5.947575,3.990759,1.211481,89.956505,139.272705,79.681763,61.354557,65.574738
521nm,10.742056,3.099835,6.292975,4.229441,1.292489,90.279678,137.570770,80.346359,62.270981,66.474915
522nm,11.271978,3.276106,6.630303,4.465089,1.371169,90.126846,135.351486,80.523491,62.892387,67.070419
523nm,11.724736,3.429113,6.920314,4.667643,1.441136,89.603897,132.929688,80.303162,63.128757,67.240250
524nm,12.179294,3.582769,7.214116,4.873828,1.512545,88.412315,129.413971,79.460709,62.939213,66.964828
525nm,12.594967,3.726978,7.484229,5.059821,1.577157,86.857780,125.450096,78.271927,62.433594,66.318466
526nm,12.992086,3.854029,7.731207,5.229358,1.629900,84.968407,121.301529,76.824608,61.637280,65.335159
527nm,13.319251,3.967964,7.943389,5.375530,1.680396,82.665657,116.776329,74.832329,60.523014,63.941288
528nm,13.552788,4.050436,8.097885,5.482418,1.720472,80.219337,112.516563,72.751602,59.195503,62.360771
529nm,13.700341,4.115777,8.212043,5.564174,1.752351,77.047356,107.388161,69.966347,57.287830,60.180378
530nm,13.744029,4.153249,8.261576,5.603642,1.769372,73.562607,101.998123,66.884010,54.992268,57.698284
531nm,13.720304,4.159000,8.258351,5.603319,1.770331,70.462051,97.357033,64.092827,52.820587,55.424530
532nm,13.564308,4.119511,8.165913,5.545571,1.753382,66.748543,91.976852,60.737331,50.193527,52.634624
533nm,13.323323,4.045274,8.010676,5.440849,1.718958,63.094063,86.804962,57.431461,47.571609,49.824047
534nm,12.979074,3.942142,7.792139,5.294263,1.677656,59.438652,81.748207,54.124825,44.983448,47.000168
535nm,12.568941,3.817482,7.534549,5.114143,1.620494,55.934776,76.947144,50.935329,42.411915,44.223618
536nm,12.182830,3.697838,7.286574,4.946672,1.568002,53.041550,72.916420,48.292072,40.235954,41.926979
537nm,11.717114,3.548228,6.985155,4.743477,1.501949,50.006599,68.727081,45.544365,37.882896,39.530602
538nm,11.228555,3.394777,6.675360,4.525002,1.430276,47.190693,64.792717,42.979458,35.707901,37.282578
539nm,10.714508,3.227512,6.356095,4.299003,1.359322,44.557590,61.123226,40.593349,33.687016,35.236649
